session,target,distance_cm,pulse_us,threshold_v,delta_mV,plateau_amp_mV,splithalf_floor,quality,amp_mean_abs_mV
gui_20260713_212812,brass eyeball,5,13.44,3.8,-1.809,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,2.4,-2.284,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,1.5,-1.757,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,0.5,-0.762,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,4.9,-0.737,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,4.8,-1.179,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,4.7,-0.939,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,4.4,-1.793,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,4.2,-2.018,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,3.8,-2.283,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,2.4,-2.408,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,1.5,-1.873,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,20.0,0.5,-0.779,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,4.9,-0.968,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,4.8,-1.404,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,4.7,-1.405,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,4.4,-1.993,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,4.2,-2.115,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,3.8,-2.462,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,2.4,-2.356,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,1.5,-1.77,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,30.0,0.5,-0.508,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,4.9,-0.925,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,4.8,-2.027,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,4.7,-1.705,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,4.4,-2.042,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,4.2,-2.215,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,45.0,3.8,-2.733,14.19,2.851,noisy,1.546
