sample_delay_us,air_paired_mV,spanner_mV,air_earlier_mV
1.386999999999999922e+01,1.779955180722891583e+01,6.445346024096380688e+01,1.911560000000000059e+01
1.388000000000000078e+01,1.774197469879517186e+01,6.437120722891562252e+01,1.911560000000000059e+01
1.389000000000000057e+01,1.662333373493977007e+01,6.317853855421687825e+01,1.706749999999999901e+01
1.390000000000000036e+01,1.659043253012048424e+01,6.313741204819277186e+01,1.706749999999999901e+01
1.391000000000000014e+01,1.570209999999999262e+01,6.211747469879519912e+01,1.570209999999999972e+01
1.391999999999999993e+01,1.563629759036144051e+01,6.206812289156627571e+01,1.570209999999999972e+01
1.392999999999999972e+01,1.465748674698794218e+01,6.078497590361445901e+01,1.570209999999999972e+01
1.393999999999999950e+01,1.456700843373493193e+01,6.070272289156626755e+01,1.570209999999999972e+01
1.394999999999999929e+01,1.356352168674698966e+01,5.969101084337342655e+01,1.433669999999999867e+01
1.396000000000000085e+01,1.351416987951807336e+01,5.971568674698789891e+01,1.433669999999999867e+01
1.397000000000000064e+01,1.256003493975903496e+01,5.868752409638550205e+01,1.297129999999999939e+01
1.398000000000000043e+01,1.253535903614457858e+01,5.863817228915657864e+01,1.297129999999999939e+01
1.399000000000000021e+01,1.165525180722890930e+01,5.733034939759031801e+01,1.092319999999999958e+01
1.400000000000000000e+01,1.162235060240963236e+01,5.729744819277103574e+01,1.092319999999999958e+01
1.400999999999999979e+01,1.073401807228915317e+01,5.638443975903614103e+01,1.160589999999999833e+01
1.401999999999999957e+01,1.069289156626505388e+01,5.633508795180721052e+01,1.160589999999999833e+01
1.402999999999999936e+01,9.812784337349397035e+00,5.523289759036142499e+01,1.092319999999999958e+01
1.403999999999999915e+01,9.755207228915661943e+00,5.516709518072287466e+01,1.024049999999999905e+01
1.405000000000000071e+01,8.883325301204818558e+00,5.427053734939759977e+01,8.875099999999997991e+00
1.406000000000000050e+01,8.875099999999997991e+00,5.428698795180724801e+01,8.875099999999997991e+00
1.407000000000000028e+01,8.077245783132529056e+00,5.315189638554218021e+01,8.192399999999999238e+00
1.408000000000000007e+01,8.019668674698793964e+00,5.308609397590361567e+01,8.192399999999999238e+00
1.408999999999999986e+01,7.123110843373494205e+00,5.209083253012052239e+01,6.826999999999999957e+00
1.409999999999999964e+01,7.123110843373494205e+00,5.214840963855425571e+01,6.826999999999999957e+00
1.410999999999999943e+01,6.308806024096378806e+00,5.124362650602407143e+01,7.509699999999999598e+00
1.411999999999999922e+01,6.308806024096378806e+00,5.119427469879516224e+01,7.509699999999999598e+00
1.412999999999999901e+01,5.535627710843368021e+00,5.027304096385544341e+01,5.461599999999999788e+00
1.414000000000000057e+01,5.543853012048186812e+00,5.023191445783135123e+01,5.461599999999999788e+00
1.415000000000000036e+01,4.745998795180724983e+00,4.931890602409637125e+01,4.778900000000000148e+00
1.416000000000000014e+01,4.713097590361447153e+00,4.931890602409637836e+01,4.778900000000000148e+00
1.416999999999999993e+01,3.964595180722892298e+00,4.834009518072292622e+01,4.096199999999999619e+00
1.417999999999999972e+01,3.931693975903614469e+00,4.833186987951808078e+01,4.096199999999999619e+00
1.418999999999999950e+01,3.232543373493974137e+00,4.747643855421690517e+01,2.730799999999999894e+00
1.419999999999999929e+01,3.166740963855420254e+00,4.745998795180727114e+01,2.730799999999999894e+00
1.421000000000000085e+01,2.525167469879516791e+00,4.656343012048191099e+01,2.730799999999999894e+00
1.422000000000000064e+01,2.541618072289155261e+00,4.655520481927711529e+01,2.730799999999999894e+00
1.423000000000000043e+01,1.941171084337349306e+00,4.583137831325296929e+01,2.730799999999999894e+00
1.424000000000000021e+01,1.867143373493975966e+00,4.571622409638548135e+01,2.048099999999999810e+00
1.425000000000000000e+01,1.151542168674697830e+00,4.477031445783131858e+01,1.365399999999999947e+00
1.425999999999999979e+01,1.085739759036143726e+00,4.474563855421686043e+01,1.365399999999999947e+00
1.426999999999999957e+01,4.770674698795180357e-01,4.404648795180721521e+01,6.826999999999999735e-01
1.427999999999999936e+01,5.017433734939756862e-01,4.406293855421685635e+01,6.826999999999999735e-01
1.428999999999999915e+01,-8.225301204819276957e-02,4.332266144578309763e+01,-6.826999999999999735e-01
1.430000000000000071e+01,-9.870361445783130960e-02,4.327330963855418844e+01,-6.826999999999999735e-01
1.431000000000000050e+01,-7.978542168674692681e-01,4.230272409638554620e+01,-1.365399999999999947e+00
1.432000000000000028e+01,-8.389807228915654447e-01,4.229449879518072208e+01,-1.365399999999999947e+00
1.433000000000000007e+01,-1.316048192771083203e+00,4.178453012048191795e+01,-6.826999999999999735e-01
1.433999999999999986e+01,-1.357174698795179602e+00,4.173517831325299454e+01,-6.826999999999999735e-01
1.434999999999999964e+01,-1.965846987951808345e+00,4.083039518072289553e+01,-2.048099999999999810e+00
1.435999999999999943e+01,-1.916495180722892044e+00,4.080571927710843028e+01,-2.048099999999999810e+00
1.437000000000000099e+01,-2.418238554216866731e+00,4.018059638554217372e+01,-2.730799999999999894e+00
1.437999999999999901e+01,-2.426463855421686411e+00,4.019704698795180775e+01,-2.730799999999999894e+00
1.439000000000000057e+01,-3.084487951807227457e+00,3.933339036144577960e+01,-3.413499999999999979e+00
1.440000000000000036e+01,-3.092713253012046692e+00,3.930871445783132856e+01,-3.413499999999999979e+00
1.441000000000000014e+01,-3.569780722891566338e+00,3.874116867469879111e+01,-3.413499999999999979e+00
1.441999999999999993e+01,-3.619132530120481750e+00,3.873294337349396699e+01,-4.096199999999999619e+00
1.442999999999999972e+01,-4.227804819277110937e+00,3.795976506024098285e+01,-3.413499999999999979e+00
1.443999999999999950e+01,-4.186678313253014316e+00,3.794331445783134171e+01,-3.413499999999999979e+00
1.444999999999999929e+01,-4.482789156626508564e+00,3.730174096385541560e+01,-4.778900000000000148e+00
1.445999999999999908e+01,-4.507465060240966714e+00,3.730996626506024683e+01,-4.778900000000000148e+00
1.447000000000000064e+01,-5.124362650602408031e+00,3.668484337349400448e+01,-4.096199999999999619e+00
1.448000000000000043e+01,-5.149038554216867070e+00,3.665194216867471511e+01,-4.096199999999999619e+00
1.449000000000000021e+01,-5.601430120481921904e+00,3.599391807228917628e+01,-6.144299999999999429e+00
1.450000000000000000e+01,-5.601430120481921904e+00,3.599391807228919049e+01,-6.826999999999999957e+00
1.450999999999999979e+01,-6.012695180722885446e+00,3.539347108433734235e+01,-5.461599999999999788e+00
1.451999999999999957e+01,-5.996244578313246087e+00,3.538524578313253244e+01,-4.778900000000000148e+00
1.452999999999999936e+01,-6.432185542168670445e+00,3.474367228915665606e+01,-6.826999999999999957e+00
1.453999999999999915e+01,-6.407509638554213183e+00,3.472722168674701493e+01,-6.826999999999999957e+00
1.455000000000000071e+01,-6.835225301204817860e+00,3.418435180722894984e+01,-5.461599999999999788e+00
1.456000000000000050e+01,-6.868126506024095690e+00,3.419257710843376685e+01,-5.461599999999999788e+00
1.457000000000000028e+01,-7.361644578313252474e+00,3.352632771084338259e+01,-7.509699999999999598e+00
1.458000000000000007e+01,-7.328743373493974644e+00,3.350987710843375567e+01,-8.192399999999999238e+00
1.458999999999999986e+01,-7.600178313253013407e+00,3.295055662650601391e+01,-7.509699999999999598e+00
1.459999999999999964e+01,-7.633079518072289460e+00,3.293410602409636567e+01,-7.509699999999999598e+00
1.460999999999999943e+01,-7.970316867469877664e+00,3.235010963855420840e+01,-8.192399999999999238e+00
1.461999999999999922e+01,-7.986767469879515247e+00,3.237478554216866655e+01,-8.192399999999999238e+00
1.462999999999999901e+01,-8.406257831325298469e+00,3.193061927710842696e+01,-8.192399999999999238e+00
1.464000000000000057e+01,-8.447384337349395977e+00,3.187304216867469009e+01,-8.192399999999999238e+00
1.465000000000000036e+01,-8.850424096385539841e+00,3.123146867469879240e+01,-8.875099999999997991e+00
1.466000000000000014e+01,-8.866874698795179199e+00,3.120679277108433070e+01,-8.875099999999997991e+00
1.466999999999999993e+01,-9.130084337349392953e+00,3.077907710843376066e+01,-9.557800000000000296e+00
1.467999999999999972e+01,-9.080732530120476653e+00,3.077907710843375000e+01,-1.024049999999999905e+01
1.468999999999999950e+01,-9.376843373493974454e+00,3.041716385542170542e+01,-8.875099999999997991e+00
1.469999999999999929e+01,-9.360392771084336871e+00,3.039248795180723661e+01,-8.192399999999999238e+00
1.471000000000000085e+01,-9.796333734939754123e+00,2.983316746987950197e+01,-9.557800000000000296e+00
1.472000000000000064e+01,-9.821009638554214050e+00,2.980849156626505092e+01,-9.557800000000000296e+00
1.473000000000000043e+01,-1.001019156626505691e+01,2.918336867469878371e+01,-1.024049999999999905e+01
1.474000000000000021e+01,-1.009244457831325015e+01,2.917514337349395603e+01,-1.024049999999999905e+01
1.475000000000000000e+01,-1.032275301204819229e+01,2.887903253012046889e+01,-1.092319999999999958e+01
1.475999999999999979e+01,-1.033097831325300930e+01,2.885435662650600719e+01,-1.092319999999999958e+01
1.476999999999999957e+01,-1.054483614457831209e+01,2.836906385542168252e+01,-1.160589999999999833e+01
1.477999999999999936e+01,-1.056951204819276668e+01,2.834438795180721371e+01,-1.092319999999999958e+01
1.478999999999999915e+01,-1.083272168674698399e+01,2.788377108433734008e+01,-9.557800000000000296e+00
1.480000000000000071e+01,-1.085739759036144036e+01,2.786732048192769895e+01,-1.024049999999999905e+01
1.481000000000000050e+01,-1.115350843373493639e+01,2.750540722891566503e+01,-1.160589999999999833e+01
1.482000000000000028e+01,-1.114528313253011405e+01,2.753830843373494019e+01,-1.160589999999999833e+01
1.483000000000000007e+01,-1.132623975903614166e+01,2.709414216867469705e+01,-1.160589999999999833e+01
1.483999999999999986e+01,-1.135091566265059804e+01,2.704479036144578075e+01,-1.160589999999999833e+01
1.484999999999999964e+01,-1.156477349397590082e+01,2.673222891566265247e+01,-1.160589999999999833e+01
1.485999999999999943e+01,-1.154009759036144267e+01,2.670755301204819787e+01,-1.160589999999999833e+01
1.487000000000000099e+01,-1.180330722891566708e+01,2.622226024096385544e+01,-1.160589999999999833e+01
1.488000000000000078e+01,-1.178685662650602595e+01,2.618935903614458383e+01,-1.160589999999999833e+01
1.489000000000000057e+01,-1.209119277108433543e+01,2.584389638554216262e+01,-1.160589999999999833e+01
1.490000000000000036e+01,-1.209941807228915600e+01,2.589324819277109668e+01,-1.160589999999999833e+01
1.491000000000000014e+01,-1.213231927710842939e+01,2.555601084337349604e+01,-1.228859999999999886e+01
1.491999999999999993e+01,-1.213231927710842939e+01,2.552310963855421377e+01,-1.228859999999999886e+01
1.492999999999999972e+01,-1.236262771084337508e+01,2.512829518072289403e+01,-1.228859999999999886e+01
1.493999999999999950e+01,-1.234617710843374105e+01,2.512006987951807702e+01,-1.228859999999999886e+01
1.494999999999999929e+01,-1.256826024096385375e+01,2.471703012048192249e+01,-1.297129999999999939e+01
1.496000000000000085e+01,-1.256003493975903318e+01,2.469235421686746079e+01,-1.297129999999999939e+01
