sample_delay_us,air_mV
3.950000000000000000e+01,1.706749999999999901e+01
3.959999999999999432e+01,1.501939999999999920e+01
3.970000000000000284e+01,1.501939999999999920e+01
3.979999999999999716e+01,1.706749999999999901e+01
3.989999999999999147e+01,1.706749999999999901e+01
4.000000000000000000e+01,1.501939999999999920e+01
4.010000000000000142e+01,1.706749999999999901e+01
4.019999999999999574e+01,1.501939999999999920e+01
4.029999999999999716e+01,1.501939999999999920e+01
4.040000000000000568e+01,1.638479999999999848e+01
4.050000000000000000e+01,1.501939999999999920e+01
4.060000000000000142e+01,1.706749999999999901e+01
4.070000000000000284e+01,1.570209999999999972e+01
4.079999999999999716e+01,1.706749999999999901e+01
4.090000000000000568e+01,1.706749999999999901e+01
4.100000000000000000e+01,1.501939999999999920e+01
4.109999999999999432e+01,1.570209999999999972e+01
4.120000000000000284e+01,1.638479999999999848e+01
4.129999999999999716e+01,1.501939999999999920e+01
4.139999999999999858e+01,1.706749999999999901e+01
4.150000000000000000e+01,1.638479999999999848e+01
4.159999999999999432e+01,1.501939999999999920e+01
4.170000000000000284e+01,1.501939999999999920e+01
4.179999999999999716e+01,1.638479999999999848e+01
4.189999999999999858e+01,1.638479999999999848e+01
4.200000000000000000e+01,1.501939999999999920e+01
4.209999999999999432e+01,1.638479999999999848e+01
4.220000000000000284e+01,1.501939999999999920e+01
4.229999999999999716e+01,1.501939999999999920e+01
4.239999999999999147e+01,1.638479999999999848e+01
4.250000000000000000e+01,1.638479999999999848e+01
4.260000000000000142e+01,1.501939999999999920e+01
4.269999999999999574e+01,1.501939999999999920e+01
4.279999999999999716e+01,1.570209999999999972e+01
4.290000000000000568e+01,1.433669999999999867e+01
4.300000000000000000e+01,1.638479999999999848e+01
4.310000000000000142e+01,1.365399999999999991e+01
4.320000000000000284e+01,1.638479999999999848e+01
4.329999999999999716e+01,1.638479999999999848e+01
4.340000000000000568e+01,1.433669999999999867e+01
4.350000000000000000e+01,1.570209999999999972e+01
4.359999999999999432e+01,1.365399999999999991e+01
4.370000000000000284e+01,1.638479999999999848e+01
4.379999999999999716e+01,1.433669999999999867e+01
4.389999999999999858e+01,1.638479999999999848e+01
4.400000000000000000e+01,1.433669999999999867e+01
4.409999999999999432e+01,1.433669999999999867e+01
4.420000000000000284e+01,1.570209999999999972e+01
4.429999999999999716e+01,1.433669999999999867e+01
4.439999999999999858e+01,1.638479999999999848e+01
4.450000000000000000e+01,1.433669999999999867e+01
4.460000000000000142e+01,1.570209999999999972e+01
4.470000000000000284e+01,1.433669999999999867e+01
4.479999999999999716e+01,1.638479999999999848e+01
4.489999999999999147e+01,1.638479999999999848e+01
4.500000000000000000e+01,1.365399999999999991e+01
4.510000000000000142e+01,1.433669999999999867e+01
4.519999999999999574e+01,1.570209999999999972e+01
4.529999999999999716e+01,1.570209999999999972e+01
4.540000000000000568e+01,1.433669999999999867e+01
4.550000000000000000e+01,1.570209999999999972e+01
4.560000000000000142e+01,1.501939999999999920e+01
4.570000000000000284e+01,1.433669999999999867e+01
