fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1579773,1781937044.2559,4712562,4160843,3517437,3005046,2498417,2005081,1504001,999450,497379,4689083,4246959,3626613,2983131,2470817,1975097,1477413,982456,487175,4733162,4194259,3571148,3063392,2558822,1947593,1539440,967540,474967,4474621,4098854,3454074,2958507,2460804,1969718,1473007,982494,458126,4463329,4192047,3456440,2954959,2463874,1968288,1454105,976333,487041
1579873,1781937044.3579,4712410,4160862,3517398,3005085,2498436,2005100,1504039,999450,497417,4689331,4246959,3626709,2983207,2470874,1975097,1477336,982456,487117,4733047,4194240,3571205,3063392,2558841,1947574,1539402,967540,474967,4474525,4098854,3454036,2958431,2460765,1969718,1472950,982551,458107,4463386,4192028,3456478,2954959,2463855,1968326,1454105,976352,487022
1579973,1781937044.4557,4712391,4160862,3517398,3005142,2498417,2005043,1503982,999469,497398,4689274,4246883,3626747,2983188,2470893,1975097,1477336,982494,487117,4732933,4194259,3571167,3063411,2558803,1947555,1539421,967483,475006,4474334,4098854,3454017,2958412,2460746,1969718,1472988,982589,458107,4463234,4191932,3456516,2954979,2463836,1968326,1454067,976314,487022
1580089,1781937044.5719,4712372,4160919,3517475,3005123,2498436,2005062,1503925,999488,497341,4688854,4246864,3626690,2983207,2470836,1975059,1477375,982494,487136,4733009,4194278,3571243,3063430,2558803,1947517,1539459,967464,474967,4474449,4098816,3454074,2958412,2460746,1969680,1473045,982589,458107,4463100,4191875,3456478,2954921,2463817,1968307,1454048,976314,487041
1580200,1781937044.6830,4712353,4160881,3517475,3005142,2498455,2005043,1503982,999507,497379,4688530,4246807,3626651,2983188,2470855,1974983,1477375,982475,487136,4733009,4194221,3571262,3063373,2558822,1947517,1539421,967407,474967,4474392,4098873,3454055,2958374,2460746,1969661,1473045,982532,458068,4463157,4191875,3456401,2954883,2463798,1968326,1454086,976333,486984
1580272,1781937044.7544,4712429,4160804,3517341,3005123,2498417,2005081,1504001,999450,497341,4688244,4246750,3626632,2983131,2470893,1974887,1477356,982475,487136,4732914,4194164,3571300,3063259,2558879,1947517,1539382,967445,474948,4475040,4098816,3454055,2958374,2460670,1969604,1473045,982494,458087,4463005,4191799,3456249,2954769,2463741,1968288,1454048,976295,486984
1580340,1781937044.8235,4712372,4160823,3517360,3005123,2498455,2005043,1504020,999412,497303,4688434,4246673,3626575,2983131,2470874,1974887,1477356,982475,487136,4732895,4194240,3571319,3063221,2558899,1947517,1539402,967464,475006,4474907,4098701,3453979,2958374,2460689,1969547,1473007,982475,458126,4462986,4191742,3456249,2954750,2463760,1968288,1454048,976257,486984
1580431,1781937044.9140,4712295,4160823,3517341,3005123,2498417,2005004,1504039,999431,497322,4688568,4246711,3626556,2983055,2470836,1974830,1477394,982494,487060,4732990,4194297,3571300,3063335,2558879,1947612,1539363,967464,475006,4474888,4098625,3454036,2958393,2460689,1969451,1472950,982456,458087,4462909,4191780,3456134,2954731,2463722,1968231,1454086,976238,486965
1580525,1781937045.0247,4712276,4160785,3517418,3005085,2498378,2004985,1504077,999412,497341,4688873,4246711,3626556,2983055,2470817,1974792,1477356,982475,487098,4732876,4194221,3571224,3063316,2558879,1947612,1539363,967388,474987,4474773,4098529,3453941,2958278,2460670,1969394,1472911,982379,458107,4462909,4191761,3456058,2954673,2463626,1968174,1454067,976257,486927
1580648,1781937045.1302,4712257,4160690,3517437,3005142,2498474,2005004,1504135,999469,497360,4688129,4246673,3626537,2982978,2470817,1974811,1477317,982513,487117,4732723,4194164,3571243,3063335,2558879,1947727,1539344,967388,475044,4474716,4098549,3453903,2958297,2460651,1969451,1472854,982379,458087,4462948,4191780,3456039,2954692,2463665,1968212,1454010,976238,486927
